"","X","id","sex","age","rank_ba","rank_cg","rank_nb","roost"
"1",1,"MVT_V_BA","M","A",5,NA,NA,2
"2",2,"BVP_V_BA","M","A",19,NA,NA,2
"3",3,"BPO_V_BA","M","A",4,NA,NA,2
"4",4,"BGP_V_BA","M","J",36,NA,NA,2
"5",5,"BON_V_BA","F","A",37,NA,NA,2
"6",6,"MVG_V_BA","M","A",18,NA,NA,2
"7",7,"ONP_V_BA","M","A",11,NA,NA,2
"8",8,"NGO_V_MA","M","A",96,NA,64,4
"9",9,"MTP_V_BA",NA,NA,54,NA,NA,3
"10",10,"OPV_V_BA","F","A",95,91,NA,1
"11",11,"BOM_V_BA","M","A",NA,NA,NA,2
"12",12,"PTP_V_NB","M","A",41,NA,18,3
"13",13,"OMN_V_BA",NA,NA,51,NA,NA,2
"14",14,"TMG_V_BA","M",NA,108,NA,NA,3
"15",15,"BPG_V_BA",NA,"J",32,NA,NA,2
"16",16,"BNO_V_BA",NA,"J",NA,51,NA,2
"17",17,"OVN_V_BA","F","A",112,NA,NA,2
"18",18,"ONT_V_BA","F","A",NA,NA,NA,2
"19",19,"unmarked",NA,NA,NA,NA,NA,NA
"20",20,"X118","M","A",3,NA,NA,2
"21",21,"BVB_V_BA","F","A",33,NA,NA,2
"22",22,"BMN_V_BA","M",NA,24,NA,NA,2
"23",23,"TOP_V_BA","M","J",103,NA,NA,2
"24",24,"OP_V_BA",NA,"J",53,NA,NA,2
"25",25,"OVM_V_BA","M","A",79,NA,NA,2
"26",26,"TMP_V_BA","M",NA,NA,NA,31,3
"27",27,"PVT_H_CG","F","J",101,81,NA,1
"28",28,"BPB_V_BA",NA,NA,NA,NA,NA,2
"29",29,"BTV_V_BA",NA,"J",NA,NA,NA,2
"30",30,"BPT_V_BA","F","A",115,NA,NA,2
"31",31,"NOT_V_MA","F","J",NA,NA,62,4
"32",32,"OGM_V_BA","M","J",57,80,40,3
"33",33,"MGO_V_BA",NA,"J",61,NA,NA,2
"34",34,"BT_V_BA","M","A",2,NA,NA,2
"35",35,"OPB_V_BA","M","A",NA,NA,37,3
"36",36,"BTO_V_BA",NA,NA,NA,NA,NA,2
"37",37,"NGP_V_MA",NA,"J",NA,NA,NA,4
"38",38,"N_V_BA","F","J",97,NA,NA,2
"39",39,"BGV_V_BA","M","J",63,NA,NA,2
"40",40,"OGV_V_BA","F","A",86,NA,NA,2
"41",41,"OVP_V_BA","M","J",28,NA,NA,2
"42",42,"TMB_V_BA","F","A",122,NA,NA,2
